id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,testStation,lastCommunicationTime
72,W 52 St & 11 Ave,32,39,40.76727216,-73.99392888,In Service,1,7,W 52 St & 11 Ave,False,2016-01-22 16:30:15
79,Franklin St & W Broadway,0,33,40.71911552,-74.00666661,In Service,1,33,Franklin St & W Broadway,False,2016-01-22 16:32:41
82,St James Pl & Pearl St,27,27,40.71117416,-74.00016545,In Service,1,0,St James Pl & Pearl St,False,2016-01-22 16:29:41
83,Atlantic Ave & Fort Greene Pl,21,62,40.68382604,-73.97632328,In Service,1,40,Atlantic Ave & Fort Greene Pl,False,2016-01-22 16:32:33
116,W 17 St & 8 Ave,19,39,40.74177603,-74.00149746,In Service,1,19,W 17 St & 8 Ave,False,2016-01-22 16:32:32
119,Park Ave & St Edwards St,15,19,40.69608941,-73.97803415,In Service,1,4,Park Ave & St Edwards St,False,2016-01-22 16:32:29
120,Lexington Ave & Classon Ave,17,19,40.68676793,-73.95928168,In Service,1,2,Lexington Ave & Classon Ave,False,2016-01-22 16:32:06
127,Barrow St & Hudson St,21,31,40.73172428,-74.00674436,In Service,1,9,Barrow St & Hudson St,False,2016-01-22 16:30:14
128,MacDougal St & Prince St,9,30,40.72710258,-74.00297088,In Service,1,21,MacDougal St & Prince St,False,2016-01-22 16:30:57
137,E 56 St & Madison Ave,15,46,40.761628,-73.972924,In Service,1,30,E 56 St & Madison Ave,False,2016-01-22 16:31:12
143,Clinton St & Joralemon St,20,24,40.69239502,-73.99337909,In Service,1,4,Clinton St & Joralemon St,False,2016-01-22 16:28:55
144,Nassau St & Navy St,5,19,40.69839895,-73.98068914,In Service,1,12,Nassau St & Navy St,False,2016-01-22 16:32:05
146,Hudson St & Reade St,30,39,40.71625008,-74.0091059,In Service,1,7,Hudson St & Reade St,False,2016-01-22 16:29:37
147,Greenwich St & Warren St,18,33,40.71542197,-74.01121978,In Service,1,15,Greenwich St & Warren St,False,2016-01-22 16:32:05
150,E 2 St & Avenue C,29,31,40.7208736,-73.98085795,In Service,1,2,E 2 St & Avenue C,False,2016-01-22 16:31:04
151,Cleveland Pl & Spring St,22,33,40.722103786686034,-73.99724900722504,In Service,1,11,Cleveland Pl & Spring St,False,2016-01-22 16:29:42
152,Warren St & Church St,3,29,40.71473993,-74.00910627,In Service,1,26,Warren St & Church St,False,2016-01-22 16:30:04
153,E 40 St & 5 Ave,36,55,40.752062307,-73.9816324043,In Service,1,17,E 40 St & 5 Ave,False,2016-01-22 16:31:08
